username,bio,followers,following,posts,account_age_days,has_profile_pic,verified,digits_in_username,username_len,numeric_ratio,special_chars,bio_len,contains_link,contains_offer,contains_money,label
tushar.das,Software dev. Open to collaborations. Loves music,140,602,197,310,1,0,0,10,0.0,1,49,0,0,0,0
xdivu,Official reseller contact now,8,29,40,195,1,0,0,5,0.0,0,29,0,0,0,1
tusharkumar,Photographer. Traveler. Mom of two. Based in India,275,246,3,735,1,0,0,11,0.0,0,50,0,0,0,0
techofficial826,Click link to win free iPhone!!!,10,181,14,1,0,0,3,15,0.2,0,32,0,1,0,1
lifetech906,"Best crypto signals, 100% profit https://tiny.one/deal",28,172,18,1,1,0,3,11,0.2727272727272727,0,54,1,0,1,1
samanna887,Click link to win free iPhone!!! contact now,22,304,30,1,1,0,3,10,0.3,0,44,0,1,0,1
gyqpesejzqo5313,"Best crypto signals, 100% profit #giveaway",11,361,17,136,0,0,4,15,0.26666666666666666,0,42,0,1,1,1
anna74351,Official reseller contact now contact now,9,33,59,1,0,0,5,9,0.5555555555555556,0,41,0,0,0,1
rahul.kumar,I love programming and hiking.,1011,330,54,1432,1,0,0,11,0.0,1,30,0,0,0,0
amit_patel,Teaching coding to kids. Loves music,174,26,102,691,1,0,0,10,0.0,1,36,0,0,0,0
xn9t84az,Official reseller contact now,1,1200,5,1,0,0,3,8,0.375,0,29,0,0,0,1
shopjohn464,Click link to win free iPhone!!!,36,395,4,427,1,0,3,11,0.2727272727272727,0,32,0,1,0,1
saraverma,Design enthusiast. Likes cats and coffee.,1047,298,420,1374,1,0,0,9,0.0,0,41,0,0,0,0
yxxpmcjzug3946,"Get likes instantly, guaranteed results #promo",127,46,4,364,0,0,4,14,0.2857142857142857,0,46,0,0,0,1
priya.kumar,Teaching coding to kids.,13,78,73,1818,1,0,0,11,0.0,1,24,0,0,0,0
nehaverma,Design enthusiast. Likes cats and coffee.,132,65,117,769,1,0,0,9,0.0,0,41,0,0,0,0
anand.singh,Student | CSE | Learning every day,45,324,11,1665,1,0,0,11,0.0,1,34,0,0,1,0
guru82729,Click link to win free iPhone!!! http://bit.ly/offer,65,737,1,366,1,0,5,9,0.5555555555555556,0,52,1,1,0,1
xxe7ur23gd,Work from home earn $$$ daily contact now,22,61,39,1,0,0,3,10,0.3,0,41,0,0,1,1
ravi.singh,Helping startups grow. Ex-Product Manager.,19,74,58,2079,1,0,0,10,0.0,1,42,0,0,0,0
sara.yadav,Teaching coding to kids. Loves music,392,202,327,369,1,0,0,10,0.0,1,36,0,0,0,0
tusharchauhan,Student | CSE | Learning every day,374,286,123,1139,1,0,0,13,0.0,0,34,0,0,1,0
neha_yadav,Engineer. Coffee lover. Building stuff.,442,136,110,881,1,0,0,10,0.0,1,39,0,0,0,0
ishadas,I love programming and hiking.,34,6,151,1151,1,0,0,7,0.0,0,30,0,0,0,0
tech96444,"Get likes instantly, guaranteed results visit my page #promo",18,355,47,1,0,0,5,9,0.5555555555555556,0,60,0,0,0,1
sara_kaushal,Photographer. Traveler. Mom of two. Loves music,422,51,12,30,1,0,0,12,0.0,1,47,0,0,0,0
pqkpnyfsgk4915,Work from home earn $$$ daily http://bit.ly/offer #giveaway,17,87,53,250,1,0,4,14,0.2857142857142857,0,59,1,1,1,1
johnreal902,Click link to win free iPhone!!!,102,813,4,447,1,0,3,11,0.2727272727272727,0,32,0,1,0,1
arpitagupta,I love programming and hiking. Based in India,669,155,247,952,1,0,0,11,0.0,0,45,0,0,0,0
rahulsingh,Photographer. Traveler. Mom of two. Open to connect,34,51,83,1738,1,0,0,10,0.0,0,51,0,0,0,0
rahulverma,Engineer. Coffee lover. Building stuff. Always learning,511,394,1,30,1,0,0,10,0.0,0,55,0,0,1,0
